t	X1	X2
1754	0.90760142	0.890144627
1755	0.806288966	0.837942624
1756	0.715599039	0.909094464
1757	0.845996666	0.999253178
1758	0.779679364	0.816047315
1759	0.845864421	0.879338065
1760	0.783164416	0.928537535
1761	0.765708086	0.917952738
1762	0.908340674	0.925731483
1763	0.858127494	0.868317339
1764	0.847345267	0.88688504
1765	0.807988438	0.940317572
1766	0.814929963	0.986389771
1767	0.869543664	0.921891506
1768	0.854103877	0.853226628
1769	0.77394073	0.937341938
1770	0.804208994	0.966536541
1771	0.84112591	0.972099353
1772	0.869563026	0.930252991
1773	0.720325525	0.930211208
1774	0.778402744	0.891125048
1775	0.780135534	0.935814083
1776	0.799346289	0.973943117
1777	0.801771631	0.907581879
1778	0.949032627	0.975875577
1779	0.838728037	0.931538403
1780	0.842585011	1.037913532
1781	0.817036009	0.911268809
1782	0.833543269	0.923291668
1783	0.805192675	0.840114134
1784	0.816169758	0.91693525
1785	0.84933483	0.942260123
1786	0.762902763	1.092630704
1787	0.88357843	0.986550262
1788	0.84998128	0.984585095
1789	0.745464605	0.990318147
1790	0.762323036	0.975842022
1791	0.69715925	0.945907565
1792	0.818186907	0.9699859
1793	0.812630237	0.946248022
1794	0.618909902	0.994115937
1795	0.775540859	1.076220699
1796	0.75873901	1.079982524
1797	0.719289301	1.045517465
1798	0.815511032	1.030628825
1799	0.752671243	1.051598331
1800	0.745757093	1.044586927
1801	0.737445161	1.074905182
1802	0.808487268	1.081962456
1803	0.789686197	1.095222075
1804	0.784532596	1.126049094
1805	0.700583352	1.103792863
1806	0.794543753	1.090112726
1807	0.70229947	1.132728676
1808	0.761032042	1.119595644
1809	0.772447691	1.131177874
1810	0.617375509	1.063391836
1811	0.749707824	1.059768858
1812	0.825759283	1.075969539
1813	0.697425563	1.158717282
1814	0.708415776	1.083688946
1815	0.683695689	1.098361571
1816	0.843635206	1.128867099
1817	0.663740844	1.113241938
1818	0.771683323	1.132875561
1819	0.747903841	1.182613733
1820	0.771705178	1.051685535
1821	0.729958363	1.145944493
1822	0.756990838	1.072554754
1823	0.667076343	1.065190345
1824	0.729414959	1.13144369
1825	0.68960473	1.135105027
1826	0.673157346	1.074407157
1827	0.685611267	1.021542495
1828	0.672330305	1.138901802
1829	0.753863116	1.165674298
1830	0.69712481	1.047733246
1831	0.701065734	1.007023166
1832	0.71840792	1.145993048
1833	0.715340271	1.071307857
1834	0.754784306	1.074209828
1835	0.678588048	1.139191016
1836	0.731599359	1.060611678
1837	0.697939924	1.077881191
1838	0.784689058	1.109502434
1839	0.817451238	1.095325016
1840	0.750060346	1.161005213
1841	0.780255741	1.058043255
1842	0.740222903	1.116605172
1843	0.707779473	1.023355862
1844	0.694764384	1.053356049
1845	0.656016806	0.99956246
1846	0.763298665	1.058542454
1847	0.68565957	1.079314417
1848	0.766226402	1.008750351
1849	0.766027347	1.051047595
1850	0.64440444	1.080141617
1851	0.710112128	1.035949119
1852	0.755510192	1.017963579
1853	0.707627611	1.040437439
1854	0.704216674	0.94344145
1855	0.743992791	0.95182984
1856	0.801402961	1.081968163
1857	0.734659669	1.015010622
1858	0.82845721	1.013750951
1859	0.695418656	0.997912836
1860	0.773975418	0.917219173
1861	0.730348466	0.992300873
1862	0.689023245	1.032378174
1863	0.79402433	1.014938254
1864	0.678912343	0.950576341
1865	0.780538768	1.008665272
1866	0.691109683	0.975475813
1867	0.686434691	1.070298855
1868	0.780217787	1.077512497
1869	0.65238039	1.051891967
1870	0.729470694	1.080100949
1871	0.674796368	1.057793378
